Timestamp, j0, j1, j2, j3
3.89,-0.6686106657959292,-0.8583392482944792,0.8394489217134814,0.9829408848743802
3.9,-0.6703896660695418,-0.8598319662475397,0.8404375969936908,0.984576192355383
3.91,-0.6721504177132607,-0.861323268380474,0.8414230781682585,0.9862085224163334
3.92,-0.6738932295844323,-0.8628131509374386,0.8424053785261693,0.9878378837208606
3.93,-0.67561840378222,-0.8643016103388284,0.8433845112344429,0.9894642848978493
3.94,-0.6773262358170646,-0.8657886431762627,0.8443604893399294,0.9910877345411454
3.95,-0.6790170147758487,-0.8672742462077107,0.8453333257710671,0.9927082412092777
3.96,-0.6806910234828442,-0.8687584163527529,0.846303033339607,0.9943258134251979
3.97,-0.6823485386565248,-0.8702411506879756,0.8472696247423,0.9959404596760366
3.98,-0.683989831062327,-0.8717224464424942,0.8482331125625528,0.9975521884128751
3.99,-0.6856151656614434,-0.8732023009936017,0.8491935092720487,0.9991610080505331
4.0,-0.6872248017557326,-0.8746807118625395,0.8501508272323375,1.0007669269673716
4.01,-0.6888189931288331,-0.8761576767103859,0.8511050786963931,1.00236995350511
4.02,-0.6903979881835642,-0.8776331933340611,0.8520562758101411,1.0039700959686584
4.03,-0.6919620300757022,-0.879107259662443,0.8530044306139561,1.005567362625962
4.04,-0.6935113568442144,-0.8805798737525926,0.85394955504413,1.007161761707861
4.05,-0.6950462015380373,-0.8820510337860851,0.8548916609343109,1.008753301407961
4.06,-0.696566792339483,-0.8835207380654428,0.8558307600169159,1.0103419898825188
4.07,-0.6980733526843562,-0.8849889850106698,0.8567668639245152,1.0119278352503374
4.08,-0.6995661013788642,-0.8864557731558813,0.8576999841911902,1.0135108455926742
4.09,-0.7010452527134018,-0.8879211011460294,0.8586301322538661,1.0150910289531612
4.1,-0.7025110165732905,-0.8893849677337188,0.8595573194536188,1.0166683933377343
4.11,-0.703963598546551,-0.8908473717761123,0.8604815570369574,1.0182429467145744
4.12,-0.7054032000287861,-0.8923083122319224,0.8614028561570827,1.0198146970140585
4.13,-0.7068300183252512,-0.8937677881584868,0.862321227875122,1.0213836521287207
4.14,-0.7082442467501854,-0.8952257987089255,0.8632366831613413,1.022949819913222
4.15,-0.7096460747234778,-0.8966823431293768,0.8641492328963348,1.0245132081843307
4.16,-0.7110356878647406,-0.8981374207563103,0.8650588878721931,1.0260738247209094
4.17,-0.7124132680848575,-0.8995910310139148,0.8659656587936493,1.027631677263913
4.18,-0.7137789936750794,-0.9010431734115582,0.8668695562792053,1.0291867735163929
4.19,-0.7151330393937306,-0.902493847541318,0.8677705908622366,1.0307391211435109
4.2,-0.716475576550595,-0.9039430530755805,0.8686687729920785,1.0322887277725588
4.21,-0.7178067730890425,-0.9053907897647061,0.8695641130350916,1.0338356009929863
4.22,-0.7191267936659614,-0.906837057434759,0.8704566212757099,1.0353797483564364
4.23,-0.7204357997295561,-0.9082818559852994,0.8713463079174687,1.0369211773767868
4.24,-0.7217339495950694,-0.9097251853872377,0.8722331830840159,1.0384598955301976
4.25,-0.7230213985184889,-0.9111670456807459,0.8731172568201047,1.0399959102551661
4.26,-0.7242982987682913,-0.9126074369732281,0.8739985390925694,1.0415292289525875
4.27,-0.7255647996952832,-0.9140463594373455,0.8748770397912848,1.0430598589858202
4.28,-0.7268210478005881,-0.9154838133090962,0.875752768730108,1.0445878076807582
4.29,-0.728067186801835,-0.9169197988859478,0.8766257356478051,1.0461130823259077
4.3,-0.7293033576975971,-0.91835431652502,0.8774959502089617,1.0476356901724695
4.31,-0.7305296988301311,-0.9197873666413182,0.8861706681681264,1.0491556384344256
4.32,-0.7318504935546066,-0.9212204869409456,0.8948086241119261,1.0506685689391895
4.33,-0.7332803989680186,-0.9226538031154217,0.9034095948739865,1.0521746607452518
4.34,-0.7348377545917576,-0.9240874525872402,0.91197333892628,1.0536740939993525
4.35,-0.7365459296350011,-0.925521587512966,0.920499589769101,1.0551670508852382
4.36,-0.7384353488130441,-0.9269563788714306,0.9289880469953256,1.0566537168802295
4.37,-0.7405466529789124,-0.928392022178635,0.9374383638380246,1.058134282471651
4.38,-0.742935854080262,-0.9298287457327139,0.9458501292054852,1.0596089455855076
4.39,-0.7456832135640094,-0.9312668229720328,0.9542228406886196,1.0610779151675616
4.4,-0.7489096188626825,-0.9327065918931311,0.9625558619651715,1.0625414167321352
